member_id,days_since_last_checkin,momentum_drop,purchase_drop,pending_cancel_flag,score,band
1,21,0.8571428571428571,0.0,0.0,38.0,GREEN
2,23,0.0,0.0,0.0,13.4,GREEN
3,23,0.0,0.0,0.0,13.4,GREEN
4,21,0.8333333333333334,0.0,0.0,37.2,GREEN
5,21,0.875,0.0,0.0,38.5,GREEN
6,33,0.0,0.0,0.0,19.2,GREEN
7,24,0.0,0.0,0.0,14.0,GREEN
8,28,0.0,0.0,0.0,16.3,GREEN
9,23,0.0,0.0,0.0,13.4,GREEN
10,23,0.0,0.0,0.0,13.4,GREEN
11,23,0.0,0.0,0.0,13.4,GREEN
12,23,0.0,0.0,0.0,13.4,GREEN
13,24,0.0,0.0,0.0,14.0,GREEN
14,30,0.0,0.0,0.0,17.5,GREEN
15,21,0.8,0.0,0.0,36.2,GREEN
16,25,0.0,0.0,0.0,14.6,GREEN
17,34,0.0,0.0,0.0,19.8,GREEN
18,31,0.0,0.0,0.0,18.1,GREEN
19,22,0.0,0.0,0.0,12.8,GREEN
20,23,0.0,0.0,0.0,13.4,GREEN
21,22,0.0,0.0,0.0,12.8,GREEN
22,28,0.0,0.0,0.0,16.3,GREEN
23,28,0.0,0.0,0.0,16.3,GREEN
24,27,0.0,0.0,0.0,15.8,GREEN
25,22,0.0,0.0,0.0,12.8,GREEN
26,23,0.0,0.0,0.0,13.4,GREEN
27,26,0.0,0.0,0.0,15.2,GREEN
28,22,0.0,0.0,0.0,12.8,GREEN
29,26,0.0,0.0,0.0,15.2,GREEN
30,22,0.0,0.0,0.0,12.8,GREEN
31,37,0.0,0.0,0.0,21.6,GREEN
32,31,0.0,0.0,0.0,18.1,GREEN
33,28,0.0,0.0,0.0,16.3,GREEN
34,25,0.0,0.0,0.0,14.6,GREEN
35,24,0.0,0.0,0.0,14.0,GREEN
36,21,0.8333333333333334,0.0,0.0,37.2,GREEN
37,22,0.0,0.0,0.0,12.8,GREEN
38,30,0.0,0.0,0.0,17.5,GREEN
39,22,0.0,0.0,0.0,12.8,GREEN
40,21,0.6666666666666666,0.0,0.0,32.2,GREEN
41,21,0.8,0.0,0.0,36.2,GREEN
42,23,0.0,0.0,0.0,13.4,GREEN
43,29,0.0,0.0,0.0,16.9,GREEN
44,27,0.0,0.0,0.0,15.8,GREEN
45,22,0.0,0.0,0.0,12.8,GREEN
46,25,0.0,0.0,0.0,14.6,GREEN
47,21,0.75,0.0,0.0,34.8,GREEN
48,27,0.0,0.0,0.0,15.8,GREEN
49,22,0.0,0.0,0.0,12.8,GREEN
50,21,0.8,0.0,0.0,36.2,GREEN
51,31,0.0,0.0,0.0,18.1,GREEN
52,29,0.0,0.0,0.0,16.9,GREEN
53,25,0.0,0.0,0.0,14.6,GREEN
54,22,0.0,0.0,0.0,12.8,GREEN
55,21,0.0,0.0,0.0,12.2,GREEN
56,22,0.0,0.0,0.0,12.8,GREEN
57,35,0.0,0.0,0.0,20.4,GREEN
58,26,0.0,0.0,0.0,15.2,GREEN
59,57,0.0,0.0,0.0,33.2,GREEN
60,26,0.0,0.0,0.0,15.2,GREEN
61,28,0.0,0.0,0.0,16.3,GREEN
62,23,0.0,0.0,0.0,13.4,GREEN
63,24,0.0,0.0,0.0,14.0,GREEN
64,23,0.0,0.0,0.0,13.4,GREEN
65,39,0.0,0.0,0.0,22.7,GREEN
66,21,0.8571428571428571,0.0,0.0,38.0,GREEN
67,32,0.0,0.0,0.0,18.7,GREEN
68,22,0.0,0.0,0.0,12.8,GREEN
69,24,0.0,0.0,0.0,14.0,GREEN
70,23,0.0,0.0,0.0,13.4,GREEN
71,23,0.0,0.0,0.0,13.4,GREEN
72,32,0.0,0.0,0.0,18.7,GREEN
73,34,0.0,0.0,0.0,19.8,GREEN
74,25,0.0,0.0,0.0,14.6,GREEN
75,22,0.0,0.0,0.0,12.8,GREEN
76,28,0.0,0.0,0.0,16.3,GREEN
77,21,0.8,0.0,0.0,36.2,GREEN
78,28,0.0,0.0,0.0,16.3,GREEN
79,30,0.0,0.0,0.0,17.5,GREEN
80,21,0.75,0.0,0.0,34.8,GREEN
81,37,0.0,0.0,0.0,21.6,GREEN
82,23,0.0,0.0,0.0,13.4,GREEN
83,45,0.0,0.0,0.0,26.2,GREEN
84,31,0.0,0.0,0.0,18.1,GREEN
85,33,0.0,0.0,0.0,19.2,GREEN
86,25,0.0,0.0,0.0,14.6,GREEN
87,22,0.0,0.0,0.0,12.8,GREEN
88,23,0.0,0.0,0.0,13.4,GREEN
89,21,0.8888888888888888,0.0,0.0,38.9,GREEN
90,25,0.0,0.0,0.0,14.6,GREEN
91,21,0.5,0.0,0.0,27.2,GREEN
92,27,0.0,0.0,0.0,15.8,GREEN
93,42,0.0,0.0,0.0,24.5,GREEN
94,23,0.0,0.0,0.0,13.4,GREEN
95,21,0.8571428571428571,0.0,0.0,38.0,GREEN
96,22,0.0,0.0,0.0,12.8,GREEN
97,27,0.0,0.0,0.0,15.8,GREEN
98,21,0.75,0.0,0.0,34.8,GREEN
99,23,0.0,0.0,0.0,13.4,GREEN
100,28,0.0,0.0,0.0,16.3,GREEN
101,23,0.0,0.0,0.0,13.4,GREEN
102,23,0.0,0.0,0.0,13.4,GREEN
103,26,0.0,0.0,0.0,15.2,GREEN
104,22,0.0,0.0,0.0,12.8,GREEN
105,24,0.0,0.0,0.0,14.0,GREEN
106,21,0.5,0.0,0.0,27.2,GREEN
107,26,0.0,0.0,0.0,15.2,GREEN
108,22,0.0,0.0,0.0,12.8,GREEN
109,21,0.6666666666666666,0.0,0.0,32.2,GREEN
110,24,0.0,0.0,0.0,14.0,GREEN
111,24,0.0,0.0,0.0,14.0,GREEN
112,23,0.0,0.0,0.0,13.4,GREEN
113,25,0.0,0.0,0.0,14.6,GREEN
114,22,0.0,0.0,0.0,12.8,GREEN
115,42,0.0,0.0,0.0,24.5,GREEN
116,30,0.0,0.0,0.0,17.5,GREEN
117,23,0.0,0.0,0.0,13.4,GREEN
118,25,0.0,0.0,0.0,14.6,GREEN
119,21,0.8888888888888888,0.0,0.0,38.9,GREEN
120,24,0.0,0.0,0.0,14.0,GREEN
121,22,0.0,0.0,0.0,12.8,GREEN
122,23,0.0,0.0,0.0,13.4,GREEN
123,22,0.0,0.0,0.0,12.8,GREEN
124,21,0.875,0.0,0.0,38.5,GREEN
125,22,0.0,0.0,0.0,12.8,GREEN
