Member_ID,First_Name,Join_Date,Membership_Type,Referral_Source
1,Member1,2024-11-23,Punch Card,Friend
2,Member2,2024-02-27,Foundations,Friend
3,Member3,2024-01-13,Unlimited,Google
4,Member4,2025-01-14,Punch Card,Instagram
5,Member5,2024-05-20,Punch Card,Walk-in
6,Member6,2024-05-05,Foundations,Event
7,Member7,2024-04-24,Unlimited,Instagram
8,Member8,2024-03-12,Unlimited,Event
9,Member9,2025-01-12,Punch Card,Google
10,Member10,2024-02-22,3x/Week,Google
11,Member11,2024-12-12,Punch Card,Friend
12,Member12,2025-01-14,Punch Card,Walk-in
13,Member13,2024-10-06,Punch Card,Event
14,Member14,2024-02-14,Punch Card,Instagram
15,Member15,2024-10-29,Foundations,Google
16,Member16,2024-08-04,Unlimited,Friend
17,Member17,2024-01-17,Foundations,Friend
18,Member18,2024-01-16,Foundations,Event
19,Member19,2024-02-17,Foundations,Google
20,Member20,2024-04-21,Punch Card,Walk-in
21,Member21,2024-04-29,3x/Week,Google
22,Member22,2024-09-15,Unlimited,Event
23,Member23,2024-11-04,3x/Week,Event
24,Member24,2024-01-14,Foundations,Google
25,Member25,2024-10-14,Foundations,Event
26,Member26,2024-04-11,3x/Week,Google
27,Member27,2025-01-01,3x/Week,Instagram
28,Member28,2024-11-28,3x/Week,Google
29,Member29,2024-12-25,Foundations,Google
30,Member30,2024-10-06,Foundations,Event
31,Member31,2024-08-02,Unlimited,Event
32,Member32,2024-04-22,Unlimited,Friend
33,Member33,2024-08-17,Foundations,Friend
34,Member34,2024-10-28,3x/Week,Instagram
35,Member35,2024-05-22,3x/Week,Friend
36,Member36,2025-02-18,Unlimited,Google
37,Member37,2024-01-04,Foundations,Event
38,Member38,2025-01-23,Unlimited,Friend
39,Member39,2025-02-16,Unlimited,Friend
40,Member40,2024-03-22,Punch Card,Instagram
41,Member41,2024-12-23,Punch Card,Instagram
42,Member42,2024-08-04,Punch Card,Google
43,Member43,2024-06-23,3x/Week,Event
44,Member44,2024-05-22,Foundations,Instagram
45,Member45,2024-03-20,Foundations,Friend
46,Member46,2024-04-20,Foundations,Event
47,Member47,2025-01-25,Foundations,Event
48,Member48,2024-06-21,Punch Card,Friend
49,Member49,2024-02-22,3x/Week,Instagram
50,Member50,2024-02-17,3x/Week,Friend
51,Member51,2024-07-13,Punch Card,Event
52,Member52,2024-02-19,3x/Week,Walk-in
53,Member53,2024-07-02,Punch Card,Walk-in
54,Member54,2025-03-09,Foundations,Google
55,Member55,2024-06-25,Punch Card,Friend
56,Member56,2024-11-05,Foundations,Friend
57,Member57,2024-05-15,Foundations,Google
58,Member58,2025-02-17,Unlimited,Google
59,Member59,2024-01-23,Punch Card,Google
60,Member60,2025-01-08,Unlimited,Event
61,Member61,2024-08-23,Punch Card,Friend
