Member_ID,Date,Class_Type,Coach,Status
1,2025-06-06,Open Gym,Coach D,Checked In
1,2025-02-23,CrossFit,Coach C,Checked In
1,2025-08-30,Weightlifting,Coach C,Checked In
1,2025-08-25,Open Gym,Coach B,Checked In
1,2025-03-09,Weightlifting,Coach B,Checked In
1,2025-04-10,CrossFit,Coach B,Checked In
1,2025-02-27,Cardio Class,Coach C,Checked In
1,2025-08-08,Weightlifting,Coach C,Checked In
1,2025-03-12,Weightlifting,Coach D,Checked In
1,2025-07-14,Open Gym,Coach B,Checked In
1,2025-03-30,Weightlifting,Coach D,Checked In
1,2025-01-01,CrossFit,Coach D,Checked In
1,2025-01-04,CrossFit,Coach A,Checked In
1,2025-01-09,Open Gym,Coach B,Checked In
1,2025-03-31,CrossFit,Coach A,Checked In
1,2025-08-12,Cardio Class,Coach B,Checked In
1,2024-12-14,CrossFit,Coach B,Checked In
1,2025-03-18,Weightlifting,Coach B,Checked In
1,2025-06-30,Cardio Class,Coach D,Checked In
1,2025-09-11,Weightlifting,Coach B,Checked In
1,2025-04-29,Open Gym,Coach D,Checked In
1,2025-06-20,Open Gym,Coach C,Checked In
1,2025-03-27,CrossFit,Coach B,Checked In
1,2025-09-17,CrossFit,Coach A,Checked In
1,2025-09-19,Open Gym,Coach B,Checked In
1,2025-06-24,Cardio Class,Coach B,Checked In
1,2024-12-10,Open Gym,Coach B,Checked In
1,2025-06-18,Weightlifting,Coach A,Checked In
1,2025-06-14,Weightlifting,Coach C,Checked In
1,2025-02-17,Cardio Class,Coach D,Checked In
1,2025-09-01,Open Gym,Coach D,No-Show
1,2025-02-09,Cardio Class,Coach C,Checked In
1,2025-09-12,CrossFit,Coach B,Checked In
1,2025-03-13,Weightlifting,Coach B,Checked In
1,2025-08-23,Weightlifting,Coach C,Checked In
1,2025-07-06,Weightlifting,Coach A,Checked In
1,2025-06-09,Open Gym,Coach B,Checked In
1,2024-12-23,Weightlifting,Coach D,Checked In
1,2025-05-10,CrossFit,Coach D,Checked In
1,2025-03-06,Open Gym,Coach B,Checked In
1,2025-08-03,CrossFit,Coach B,Checked In
1,2025-09-23,Cardio Class,Coach A,Checked In
1,2024-11-24,CrossFit,Coach B,Checked In
1,2025-08-19,Open Gym,Coach A,Checked In
1,2025-02-19,Cardio Class,Coach B,Checked In
1,2025-08-16,Open Gym,Coach D,Checked In
1,2025-01-28,CrossFit,Coach A,Checked In
1,2025-05-25,Weightlifting,Coach C,Checked In
1,2025-03-22,Weightlifting,Coach C,Checked In
1,2025-08-13,CrossFit,Coach A,Checked In
1,2025-04-25,Cardio Class,Coach B,Checked In
1,2025-09-24,Cardio Class,Coach C,Checked In
1,2025-04-01,Cardio Class,Coach C,Checked In
1,2025-07-28,Cardio Class,Coach D,Checked In
1,2025-08-09,Cardio Class,Coach A,Checked In
1,2025-05-29,CrossFit,Coach A,Checked In
1,2025-01-29,Open Gym,Coach C,Checked In
1,2025-08-24,CrossFit,Coach C,Checked In
1,2025-03-25,Open Gym,Coach B,Checked In
1,2025-07-05,CrossFit,Coach B,Checked In
1,2025-08-10,Cardio Class,Coach D,Checked In
1,2024-12-07,Open Gym,Coach D,Checked In
1,2024-12-16,Open Gym,Coach A,Checked In
1,2025-04-11,Weightlifting,Coach A,Checked In
1,2025-07-18,CrossFit,Coach C,Checked In
1,2025-09-05,Open Gym,Coach A,Checked In
1,2025-04-21,Weightlifting,Coach C,Checked In
1,2025-07-09,Open Gym,Coach C,Checked In
1,2025-05-13,Cardio Class,Coach B,Checked In
1,2025-08-20,Weightlifting,Coach C,Checked In
1,2025-03-05,Cardio Class,Coach B,Checked In
1,2025-01-25,Cardio Class,Coach A,Checked In
1,2024-12-30,CrossFit,Coach A,Checked In
1,2025-03-26,Weightlifting,Coach A,Checked In
1,2025-02-05,Open Gym,Coach B,Checked In
1,2025-01-27,Weightlifting,Coach B,Checked In
1,2025-05-21,Open Gym,Coach A,Checked In
1,2025-06-13,Cardio Class,Coach A,Checked In
1,2025-05-26,Cardio Class,Coach C,Checked In
1,2025-03-08,CrossFit,Coach A,Checked In
1,2025-09-22,Cardio Class,Coach A,Checked In
1,2025-07-27,Weightlifting,Coach C,Checked In
1,2025-02-18,Cardio Class,Coach B,Checked In
1,2025-10-01,CrossFit,Coach D,Checked In
